,barrio,ciudad_vivienda,departamento,metros,numero_habitaciones,pauta_destacada,pauta_oportunidad,precio,tipo_vivienda,url
0,portal de jamundi,jamundí,valle del cauca,"60,00",3,1,0,350000.0,casa,https://www.fincaraiz.com.co/Vivienda/arriendos//casa-en-arriendo/jamundi/portal_jamundi-det-5067314.aspx
1,alto prado,barranquilla,atlántico,"270,00",4,0,1,3500000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/barranquilla/alto_prado-det-4600567.aspx
2,estrella norte,bogotá,cundinamarca,"270,00",3,1,0,2600000.0,casa,https://www.fincaraiz.com.co/Vivienda/arriendos//casa-en-arriendo/bogota/estrella_norte-det-4802893.aspx
3,galerias,bogotá,cundinamarca,"45,00",1,0,0,1217000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/bogota/galerias-det-4948998.aspx
4,floralia,bogotá,cundinamarca,"65,00",2,0,0,580000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/bogota/floralia-det-5072186.aspx
5,santa bárbara,bogotá,cundinamarca,"160,00",3,0,0,4900000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/bogota/santa_barbara-det-5072182.aspx
6,villa maría,zipaquirá,cundinamarca,"63,00",3,0,0,600000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/zipaquira/villa_maria-det-5072180.aspx
7,las mercedes,bogotá,cundinamarca,"55,00",3,0,0,1200000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/bogota/las_mercedes-det-5072177.aspx
8,el prado,santa marta,magdalena,"75,00",2,0,0,700000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/santa-marta/prado-det-5072173.aspx
9,salitre,bogotá,cundinamarca,"90,00",3,0,0,2500000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/bogota/salitre-det-5072166.aspx
10,alarcon,bucaramanga,santander,"50,00",1,0,0,300000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/bucaramanga/alarcon-det-5072163.aspx
11,morichal de comfandi,cali,valle del cauca,"90,00",3,0,0,700000.0,casa,https://www.fincaraiz.com.co/Vivienda/arriendos//casa-en-arriendo/cali/morichal_comfandi-det-5072155.aspx
12,suba compartir,bogotá,cundinamarca,"56,00",2,0,1,850000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/bogota/suba_compartir-det-4999379.aspx
13,santa barbara,palmira,valle del cauca,"1,00",1,0,0,280000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/palmira/santa_barbara-det-5072152.aspx
14,barrio villa maria,zipaquirá,cundinamarca,"66,00",3,0,1,800000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/zipaquira/barrio_villa_maria-det-5072149.aspx
15,sector las vegas,tabio,cundinamarca,"160,00",3,1,0,1350000.0,casa,https://www.fincaraiz.com.co/Vivienda/arriendos//casa-en-arriendo/tabio/sector_las_vegas-det-4785661.aspx
16,altos de bella suiza,bogotá,cundinamarca,"70,00",3,0,0,600000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/bogota/altos_bella_suiza-det-5072141.aspx
17,el batán,bogotá,cundinamarca,"46,00",1,0,0,260000000,apartaestudio,https://www.fincaraiz.com.co/Vivienda/arriendos//apartaestudio-en-arriendo/bogota/batan-det-5072138.aspx
18,fontibón,bogotá,cundinamarca,"25,00",1,0,0,440000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/bogota/fontibon-det-5072137.aspx
19,chapinero alto,bogotá,cundinamarca,"36,00",1,1,0,1300000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/bogota/chapinero_alto-det-5072024.aspx
20,atalaya primer etapa,cúcuta,norte santander,"20,00",1,0,0,250000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/cucuta/atalaya_primer_etapa-det-5072131.aspx
